transaction_id,account_number,account_type,transaction_type,amount,transaction_date
TXN00018,ACC1007,chequing,withdrawal,1158.34,2026-09-15
TXN00005,ACC1010,CREDIT,transfer,392.92,2026-09-15
TXN00026,ACC1013,chequing,payment,908.18,15/09/2026
TXN00016,ACC1006,chequing,transfer,1756.04,15/09/2026
TXN00012,ACC1002,chequing,deposit,1654.85,2026-09-15
TXN00011,ACC1019,chequing,transfer,1445.49,2026-09-15
TXN00037,ACC1003,credit,transfer,2104.97,15/09/2026
TXN00023,ACC1015,savings,payment,2212.28,2026-09-15
TXN00009,ACC1014,credit,deposit,2432.92,2026-09-15
TXN00007,ACC1003,credit,transfer,2119.50,15/09/2026
TXN00026,ACC1013,chequing,payment,908.18,15/09/2026
TXN00040,ACC1015,Savings,deposit,284.11,2026-09-15
TXN00004,ACC1000,Credit,withdrawal,1746.86,15/09/2026
TXN00015,ACC1011,Credit,withdrawal,928.60,2026-09-15
TXN00047,ACC1017,chequing,withdrawal,1783.81,Sep 15 2026
TXN00041,ACC1011,Credit,transfer,602.43,2026-09-15
TXN00033,ACC1017,Chequing,transfer,1922.65,2026-09-15
TXN00042,ACC1007,chequing,deposit,218.71,Sep 15 2026
TXN00008,ACC1019,chequing,transfer,2018.79,2026-09-15
TXN00022,ACC1006,Chequing,transfer,535.50,15/09/2026
TXN00020,ACC1001,chequing,withdrawal,2055.40,2026-09-15
TXN00024,ACC1014,credit,withdrawal,665.88,2026-09-15
TXN00027,ACC1004,savings,payment,,Sep 15 2026
TXN00003,ACC1018,CHEQUING,transfer,2024.53,2026-09-15
TXN00029,ACC1005,chequing,payment,1493.04,2026-09-15
TXN00002,ACC1017,chequing,payment,555.00,2026-09-15
TXN00006,ACC1010,credit,deposit,236.40,2026-09-15
TXN00044,ACC1017,CHEQUING,withdrawal,325.34,Sep 15 2026
TXN00048,ACC1012,CREDIT,transfer,1098.06,Sep 15 2026
TXN00050,ACC1007,CHEQUING,deposit,848.52,2026-09-15
TXN00014,ACC1003,credit,payment,698.54,2026-09-15
TXN00031,ACC1014,credit,transfer,,2026-09-15
TXN00034,ACC1010,credit,deposit,737.28,2026-09-15
TXN00046,ACC1019,CHEQUING,payment,2411.09,2026-09-15
TXN00021,ACC1010,credit,payment,673.01,2026-09-15
TXN00039,ACC1005,chequing,deposit,1499.37,2026-09-15
TXN00035,ACC1005,chequing,payment,13.10,2026-09-15
TXN00038,ACC1016,CHEQUING,withdrawal,386.33,2026-09-15
TXN00004,ACC1000,Credit,withdrawal,1746.86,15/09/2026
TXN00014,ACC1003,credit,payment,698.54,2026-09-15
TXN00049,ACC1016,chequing,payment,306.91,2026-09-15
TXN00013,ACC1009,chequing,deposit,2139.02,15/09/2026
TXN00010,ACC1012,credit,deposit,1382.34,2026-09-15
TXN00032,ACC1000,credit,deposit,,2026-09-15
TXN00043,ACC1015,savings,deposit,2445.07,15/09/2026
TXN00036,ACC1008,Credit,withdrawal,1271.67,2026-09-15
TXN00045,ACC1015,savings,withdrawal,666.32,15/09/2026
TXN00028,ACC1001,chequing,deposit,386.34,2026-09-15
TXN00019,ACC1008,credit,withdrawal,1713.11,2026-09-15
TXN00030,ACC1012,credit,payment,1491.74,15/09/2026
TXN00017,ACC1002,chequing,withdrawal,1337.68,2026-09-15
TXN00011,ACC1019,chequing,transfer,1445.49,2026-09-15
TXN00001,ACC1007,Chequing,deposit,1405.31,2026-09-15
TXN00025,ACC1007,chequing,transfer,1868.80,2026-09-15
